model,setting,total_components,reconstruction_error,activation_sparsity,mean_lane_purity,max_lane_purity,captured_lanes,coverage_fraction,total_activations,redundancy,effective_features,active_features,dead_features,useful_features,redundant_features,active_feature_fraction,dead_feature_fraction,useful_feature_fraction,redundant_feature_fraction,recovered_residues,missed_residues,score
NMF,NMF-8,8,0.37117239832878113,0.636875,0.4753097891807556,0.7410740852355957,6,0.75,1162.0,193.66666666666666,0.75,6,2,6,0,0.75,0.25,0.75,0.0,"[1, 7, 13, 17, 23, 29]","[11, 19]",1.7916373908519745
SAE,SAE-L12-k1,12,0.3786712884902954,0.9166666666666666,0.3406256635983785,1.0000001192092896,5,0.625,400.0,80.0,0.4166666666666667,5,7,5,0,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.0,"[13, 17, 19, 23, 29]","[1, 7, 11]",1.4411210417747498
