n,mod30_residue,inside_mod30_gate,F_group_A_r1_7,F_group_B_r11_13,F_group_C_r17_19,F_group_D_r23_29
225,15,False,0,0,0,0
226,16,False,0,0,0,0
227,17,True,0,0,1,0
228,18,False,0,0,0,0
229,19,True,0,0,1,0
230,20,False,0,0,0,0
231,21,False,0,0,0,0
232,22,False,0,0,0,0
233,23,True,0,0,0,1
234,24,False,0,0,0,0
235,25,False,0,0,0,0
236,26,False,0,0,0,0
237,27,False,0,0,0,0
238,28,False,0,0,0,0
239,29,True,0,0,0,1
240,0,False,0,0,0,0
241,1,True,1,0,0,0
242,2,False,0,0,0,0
243,3,False,0,0,0,0
244,4,False,0,0,0,0
245,5,False,0,0,0,0
246,6,False,0,0,0,0
247,7,True,1,0,0,0
248,8,False,0,0,0,0
249,9,False,0,0,0,0
250,10,False,0,0,0,0
251,11,True,0,1,0,0
252,12,False,0,0,0,0
253,13,True,0,1,0,0
254,14,False,0,0,0,0
255,15,False,0,0,0,0
256,16,False,0,0,0,0
257,17,True,0,0,1,0
258,18,False,0,0,0,0
259,19,True,0,0,1,0
260,20,False,0,0,0,0
261,21,False,0,0,0,0
262,22,False,0,0,0,0
263,23,True,0,0,0,1
264,24,False,0,0,0,0
265,25,False,0,0,0,0
266,26,False,0,0,0,0
267,27,False,0,0,0,0
268,28,False,0,0,0,0
269,29,True,0,0,0,1
270,0,False,0,0,0,0
271,1,True,1,0,0,0
272,2,False,0,0,0,0
273,3,False,0,0,0,0
274,4,False,0,0,0,0
275,5,False,0,0,0,0
276,6,False,0,0,0,0
277,7,True,1,0,0,0
278,8,False,0,0,0,0
279,9,False,0,0,0,0
280,10,False,0,0,0,0
281,11,True,0,1,0,0
282,12,False,0,0,0,0
283,13,True,0,1,0,0
284,14,False,0,0,0,0
285,15,False,0,0,0,0
286,16,False,0,0,0,0
287,17,True,0,0,1,0
288,18,False,0,0,0,0
289,19,True,0,0,1,0
290,20,False,0,0,0,0
291,21,False,0,0,0,0
292,22,False,0,0,0,0
293,23,True,0,0,0,1
294,24,False,0,0,0,0
295,25,False,0,0,0,0
296,26,False,0,0,0,0
297,27,False,0,0,0,0
298,28,False,0,0,0,0
299,29,True,0,0,0,1
300,0,False,0,0,0,0
