residue,all_count,gate_count,inside_gate
0,10,0,False
1,10,10,True
2,10,0,False
3,10,0,False
4,10,0,False
5,10,0,False
6,10,0,False
7,10,10,True
8,10,0,False
9,10,0,False
10,10,0,False
11,10,10,True
12,10,0,False
13,10,10,True
14,10,0,False
15,10,0,False
16,10,0,False
17,10,10,True
18,10,0,False
19,10,10,True
20,10,0,False
21,10,0,False
22,10,0,False
23,10,10,True
24,10,0,False
25,10,0,False
26,10,0,False
27,10,0,False
28,10,0,False
29,10,10,True
